,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
CLCN2,0,1,0,1,6,22,0,5,0,0,0,1
CLCN7,1,0,0,1,0,0,2,4,0,0,0,3
CLCNKA,0,1,2,5,1,2,0,1,2,0,0,2
CLEC10A,0,3,0,0,0,4,0,0,0,0,0,0
CLEC11A,0,0,2,0,1,4,0,1,0,0,0,0
CLEC4M,0,1,0,0,6,12,0,0,0,0,0,0
CLNK,0,1,0,0,1,0,0,3,0,0,0,0
CLRN1,0,0,1,0,0,0,0,0,0,5,4,13
CLTCL1,1,1,0,1,2,9,3,4,13,0,0,1
CLYBL,0,2,0,0,0,1,0,2,2,0,0,3
CNDP1,0,0,2,1,3,7,4,0,0,0,0,0
CNGA1,1,0,0,7,3,1,1,2,3,0,0,0
CNGB3,0,0,4,1,5,14,0,1,9,0,0,0
CNKSR1,0,2,0,3,3,29,2,5,6,1,4,0
CNR1,1,0,0,0,1,6,0,0,5,0,0,13
CNR2,0,1,0,0,0,1,0,0,0,0,0,0
CNTLN,0,0,14,2,5,4,73,6,6,0,0,0
COG6,0,2,0,0,1,0,1,2,0,0,1,3
COG7,0,1,0,0,0,4,1,0,29,1,0,1
COL18A1,0,1,0,2,15,31,3,10,114,0,0,0
COL21A1,0,1,0,1,1,11,2,3,5,0,0,0
COL4A3,1,1,0,2,5,16,1,4,5,3,0,1
COL6A5,0,0,1,5,13,28,3,8,14,0,14,23
COL6A6,0,3,0,1,3,2,1,5,7,0,0,0
COL7A1,3,1,0,9,20,21,2,5,48,3,0,4
CORIN,1,1,0,4,0,5,2,0,3,0,0,0
CPA1,0,1,1,1,0,11,0,2,3,0,0,0
CPA4,0,1,6,0,0,4,0,1,15,0,0,0
CPT1B,1,0,0,1,10,1,0,1,9,0,0,0
CPZ,0,0,1,6,4,35,0,5,2,7,0,8
CR1,0,1,0,0,6,5,3,4,24,24,0,1
CR2,0,0,2,0,0,8,1,0,7,1,0,2
CREB3L3,1,0,1,1,1,1,3,0,8,0,0,0
CRHR1,1,0,0,0,0,0,0,5,1,0,0,1
CRX,1,0,0,1,0,5,0,0,0,0,0,0
CRYBA4,0,0,3,0,0,0,1,0,2,0,0,0
CRYBB1,1,0,0,1,1,2,1,1,3,0,0,0
CRYGB,1,0,0,0,2,0,0,0,0,0,0,0
CSPP1,1,1,0,1,2,5,0,1,2,0,0,0
CSTF2T,1,0,0,0,2,2,1,1,0,0,0,0
CTC1,0,0,2,2,1,2,1,3,17,0,0,0
CTH,0,1,0,0,1,0,0,0,0,0,0,0
CTSA,1,0,0,1,0,0,0,1,5,0,0,0
CTSB,0,1,0,0,6,2,1,0,11,0,0,6
CTSZ,0,1,0,0,0,7,1,0,0,0,0,1
CUBN,0,1,0,12,13,17,4,5,12,1,1,2
CUEDC1,2,0,0,1,0,0,1,0,2,0,0,0
CXCL11,0,0,3,0,0,2,0,0,0,0,0,0
CXCL8,0,0,17,0,1,0,0,0,1,0,0,0
CXCR1,0,0,2,2,0,0,0,0,1,0,0,0
CXCR3,0,0,14,0,1,0,0,1,0,0,0,0
CYP1A1,0,0,2,0,3,9,0,0,1,0,0,0
