,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
CAPN12,0,0,1,2,3,10,0,1,6,0,0,0
CAPN3,0,3,0,2,1,1,3,1,4,0,0,0
CARD9,0,0,6,3,2,7,1,1,1,0,5,0
CARS2,0,0,3,0,0,11,0,1,2,0,0,0
CASP5,0,0,1,0,1,1,1,2,0,0,0,0
CASQ1,0,0,4,2,3,1,1,0,1,0,0,0
CBS,0,0,2,3,0,4,0,3,1,0,6,1
CC2D2A,1,1,0,2,2,11,3,5,1,0,0,5
CCDC14,1,0,0,1,1,0,0,0,1,0,1,0
CCDC18,1,0,0,0,5,3,0,1,2,0,0,0
CCDC39,1,0,0,0,2,11,0,3,8,1,1,0
CCDC62,0,1,0,0,0,9,1,0,20,0,0,0
CCDC66,0,0,2,0,6,0,2,0,0,0,0,0
CCDC78,1,1,1,2,2,2,0,2,2,0,0,0
CCDC90B,0,1,0,0,2,5,0,1,2,1,0,0
CCHCR1,0,0,3,0,0,1,0,0,0,0,0,0
CCKBR,0,1,0,1,0,2,1,0,0,0,0,0
CCNO,0,1,0,1,0,6,2,0,1,0,0,0
CD109,0,0,0,0,9,15,0,1,0,0,0,0
CD177,0,0,2,0,6,4,0,0,1,0,0,0
CD1A,0,1,0,5,2,1,0,0,0,0,0,3
CD1E,0,2,0,0,0,0,0,2,0,0,0,0
CD207,0,1,0,1,0,6,0,1,1,0,0,0
CD2AP,1,0,0,1,2,1,2,2,0,0,0,0
CD36,0,2,0,3,2,2,1,0,0,0,0,1
CD3EAP,0,0,1,1,0,4,0,1,0,0,0,4
CD55,2,0,0,0,0,0,1,0,2,1,0,4
CD96,0,1,0,1,1,1,0,1,0,0,0,0
CDAN1,3,0,0,0,0,16,0,6,25,0,0,0
CDC25C,2,0,0,4,0,1,1,1,11,0,0,0
CDC6,0,2,0,0,0,1,0,0,2,0,0,0
CDK5,1,0,0,0,0,0,0,0,0,0,0,0
CDK5RAP2,1,0,0,2,0,9,1,6,6,0,0,0
CDKL3,0,1,0,1,0,1,0,0,1,0,0,0
CECR2,0,3,0,1,2,7,3,0,10,0,0,0
CELF6,0,1,0,1,0,0,1,0,3,0,0,0
CELSR1,0,0,2,10,11,20,12,9,55,0,3,15
CENPJ,0,1,0,0,0,6,0,3,6,0,0,1
CEP290,1,0,0,2,7,16,5,0,2,0,0,0
CEP63,1,0,0,1,2,6,0,0,1,0,0,0
CERKL,0,0,2,0,0,3,2,0,6,0,0,0
CES1,0,0,1,0,1,4,0,3,0,0,0,1
CETP,2,0,0,3,0,4,1,3,1,0,0,0
CFAP57,0,2,0,1,4,9,0,5,19,0,0,17
CFHR5,0,0,1,1,3,2,0,1,2,0,0,0
CFTR,1,0,2,2,5,25,1,4,7,0,0,0
CHD1L,0,1,1,1,1,6,2,1,3,0,0,1
CHDH,0,1,0,3,2,5,0,1,16,0,0,0
CHEK1,1,2,0,0,0,0,1,3,0,0,0,0
CHEK2,0,2,3,1,1,0,1,0,0,0,1,1
CHI3L2,1,0,0,0,0,8,0,0,3,0,0,0
CHPF2,1,1,0,2,11,23,0,0,3,0,0,0
CHRND,1,0,0,0,0,7,1,0,12,2,1,17
CHRNE,1,0,0,0,6,2,0,1,3,0,0,18
CHST14,1,0,0,0,0,1,1,0,0,0,0,0
CIDEC,0,1,0,0,2,6,0,0,1,1,0,0
CKM,0,0,4,2,0,17,0,0,4,0,0,0
CLCA1,1,0,0,1,0,23,3,3,2,0,1,0
CLCN2,0,1,0,9,2,13,0,2,0,0,0,0
CLEC10A,0,1,0,1,1,8,0,0,0,0,0,0
CLEC11A,0,0,8,0,0,5,0,3,0,0,0,0
CLTCL1,1,0,0,2,1,15,3,7,16,0,0,0
CLYBL,0,4,0,0,0,0,0,0,2,0,0,4
CNDP1,0,0,3,2,1,6,1,0,0,0,0,0
CNGB3,2,0,6,0,7,20,0,0,5,0,0,1
CNKSR1,0,1,0,0,3,25,2,3,3,0,4,0
CNN2,0,0,3,3,22,2,2,12,2,0,0,0
