,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
ALG8,2,0,8,9,9,35,19,0,17,0,3,0
ALK,1,0,0,37,123,36,16,44,80,4,0,27
ALKBH3,1,2,18,0,3,35,1,1,2,0,0,2
ALMS1,13,2,0,489,147,220,37,38,329,7,2,3
ALOX12,1,0,0,30,3,63,3,7,36,1,2,8
ALOX15,5,2,0,24,34,93,10,56,5,9,0,14
ALOXE3,4,31,0,24,16,181,1,11,50,3,0,0
ALPL,2,0,0,17,12,2,12,26,37,0,0,2
ALPP,8,5,0,12,28,365,3,21,53,0,0,2
ALPPL2,0,1,0,0,1,0,0,0,0,0,0,0
ALS2,1,0,0,40,135,94,44,33,53,1,47,9
ALS2CL,1,0,44,34,29,129,27,62,144,2,4,12
AMBN,0,0,3,1,10,48,15,5,1,3,0,0
AMH,0,9,0,20,51,133,12,10,9,0,8,0
AMHR2,1,0,0,14,19,3,8,2,30,1,0,0
AMPD1,8,3,1,64,22,227,1,8,145,0,11,0
AMT,0,2,0,20,65,5,4,26,14,6,2,67
AMZ2,0,0,2,0,0,1,0,0,0,0,0,0
ANG,0,27,0,5,11,25,0,0,0,0,0,0
ANGPT1,1,0,0,0,38,19,7,5,0,0,1,1
ANGPTL3,0,1,0,0,4,7,4,1,1,0,0,0
ANGPTL4,0,0,57,3,34,28,2,5,8,0,4,0
ANGPTL5,0,0,3,4,2,0,29,29,13,0,0,0
ANGPTL6,0,14,7,7,32,10,4,5,1,0,0,0
ANK1,1,0,0,48,63,238,40,42,184,4,20,84
ANK2,2,0,0,100,145,432,40,123,186,2,0,61
ANKK1,0,5,22,30,20,327,2,9,3,0,0,3
ANKLE2,1,0,0,20,38,42,4,38,69,0,0,0
ANKRD1,3,0,0,7,17,134,6,28,9,0,1,5
ANKRD11,3,0,0,137,117,58,99,83,612,1,17,100
ANKRD26,1,17,0,19,38,455,14,7,132,1,14,2
ANKRD35,1,0,0,0,0,1,0,0,0,0,1,0
ANLN,2,4,15,8,47,18,5,4,19,0,0,0
ANO10,2,0,3,19,39,19,9,14,2,2,0,73
ANO3,0,1,0,5,9,70,3,5,43,0,0,96
ANO5,0,5,5,25,46,149,15,0,4,0,2,6
ANO6,3,16,0,8,64,19,17,5,208,0,3,12
ANO7,4,1,21,29,55,202,24,62,137,2,11,6
ANO9,0,0,1,0,0,0,0,0,0,0,0,2
ANTXR2,2,0,0,9,38,19,7,3,7,2,2,8
ANXA1,0,0,7,62,2,13,1,0,174,1,0,0
ANXA5,1,2,28,22,3,36,4,3,10,0,2,0
AOAH,0,6,46,6,24,162,19,10,65,3,0,10
AOC1,3,0,0,34,61,86,7,9,36,0,2,0
AP1S1,0,1,0,2,0,0,1,11,30,0,0,0
AP1S3,1,1,0,2,0,106,0,3,4,3,0,0
AP3B1,0,3,0,14,4,166,4,8,199,1,4,2
